"Images","Title","Description","Brand","Condition","Primary Color","Secondary Color","Tags","Sku","Category","Price","Status","Listed Date","Sold Date","Shipped Date","Listing Platforms","Sold Platform","Internal Notes","Price Sold","Cost of Goods","Marketplace Fees","Shipping Expenses","Labels","Quantity Left","Quantity Sold"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/32482981-0f3c-4c98-bba6-9a257e7c6d6d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Sky & Sparrow cutout ribbed crop top black fitted baby tee XS Y2K","Cutout front baby tee in black ribbed knit with a fitted, cropped silhouette. Soft, stretchy fabric; sleek Y2K/party vibe; solid rib texture. Condition: Excellent pre-owned.","Sky and Sparrow","Pre-Owned - Excellent","Black","","cutout, keyhole, baby tee, ribbed, Y2K, goth, streetwear, festival, PacSun, Tillys, XS","","Tops","12.99","Sold","2025-09-21","2025-10-11","","Depop","Depop","sleeve:
length:
p2p:
og tp: 2","3.19","1.24","0.3","0","raghouse, clothing, A7","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/ea19713d-4215-489c-a4a1-2a8d3a2ee73a.png?width=1317&height=1317&fit=bounds&bg-color=fff&canvas=1317,1317","Ivory Lace Floral Button Blouse – Sheer Long Sleeve M","Vintage-style ivory lace blouse with floral pattern. Sheer long sleeves, mandarin collar, and full button front. Rust-colored stain along inner collar seam. Lightweight for spring or weddings.","Unbranded","Pre-Owned - Good","Cream","","lace, sheer, floral, vintageinspired, romantic","","Tops","13.99","Sold","2025-06-05","2025-09-22","","Poshmark","Poshmark","og tp: 4, 3","3.33","1.24","0.99","0","A1, raghouse, clothing","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/0cf567d4-84ce-4b44-8b5b-ea7adf324416.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Columbia XS Sporty Windbreaker Jacket Blue Yellow Hooded Athletic","Sporty Columbia hooded windbreaker with full zip closure in periwinkle blue with neon yellow accents.

Athletic fit in lightweight nylon shell, styled for outdoor activities and layering. Features geometric cube print lining, adjustable hood, velcro cuff closures, and side zip pockets.

Size: XS/TP

Condition: Good, gently used with no visible flaws. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Columbia","Pre-Owned - Good","Blue","Yellow","","","Coats, Jackets & Vests","27","Active","2025-11-24","","","eBay, Mercari, Depop, Poshmark","","og tp ","","3.65","","","raghouse, clothing, closet, LLBeanColumbiaREI, A12, 60days+, cog:3.65","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/7e9d90b6-03cd-49a4-a427-6acf07ce232d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Pro Spirit M 90s Fleece Jacket Teal Full Zip Elastic Waist Y2K Athletic","90s Pro Spirit fleece jacket with full-zip front and elastic cinched waist in vibrant teal.​

Relaxed oversized fit in soft polyester fleece, styled for casual athletic wear.​

Size: M

Condition: Good; light general wear consistent with age. See photos for details.​

Measurements: See photos for full measurements.​

OFFERS WELCOME! Next day shipping if ordered by 5pm CT/6pm ET.​

15% off bundles of 2+ items.​","Pro Spirit","Pre-Owned - Good","Green","Blue","","","Coats, Jackets & Vests","27","Active","2025-11-09","","","eBay, Etsy, Mercari, Depop, Poshmark","","og tp 7.5","","3.65","","","raghouse, clothing, closet, Vintage Fleece, A13, A11, 60days+, cog:3.65","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/042863e8-fc1e-40e3-8c12-b42773e706d8.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Wild Fable notch-front cropped tank top black fitted basic Y2K","Fitted cropped tank in black with a notch-front scoop neckline and soft stretch knit. Minimalist Y2K basic. Solid color. Condition: Good, gently used.","Wild Fable","Pre-Owned - Good","Black","","","","Tops","12.99","Sold","2025-09-05","2025-09-09","","eBay","eBay","sleeve:
length:
p2p:
og tp: 2","10.39","1.24","1.72","4.52","raghouse, clothing, A2","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/86e0bf7f-a635-44f5-92c5-e7f46e96d006.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Bozzolo ribbed long sleeve cropped top red y2k basic","Ribbed knit stretch crop top with crew neckline and fitted silhouette. Soft rayon‑spandex. Excellent used condition. ","Bozzolo","Pre-Owned - Excellent","Red","","y2k, ribbed, cropped, long sleeve, minimalist, layering top, basics","","Tops","14.99","Sold","2025-08-19","2025-10-13","","eBay","eBay","sleeve:
length:
p2p:
og tp: 4","13","1.24","3.51","5.09","raghouse, clothing, A5","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/09486c87-a49c-441e-94ee-4edcc4af7f1f.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Mr. California Light Blue Shirt – Vintage Minimalist M","Vintage Mr. California short sleeve button-down perfect for minimalist or retro wardrobes

Soft light blue with subtle check pattern and structured camp collar

Features two chest pockets and pearlescent buttons

No holes or stains visible – ready to wear

Great for summer or resort styling with light trousers or shorts

Ideal for vintage and minimalist lovers

Wear it open over a tank or buttoned for a clean look

Only one available – don’t miss it!

Condition: Excellent vintage condition – no visible flaws
Size: Tagged M, fits true to size
Color: Light blue with white threading
Material: Feels like a poly-cotton blend (tag not explicit, soft with texture)
Pattern: Subtle tonal grid/check
Fit: Relaxed boxy fit
Care: Wash warm, gentle – tumble dry low","Mr. California","Pre-Owned - Excellent","Blue","","vintage menswear, retro button down, minimalist summer shirt, made in usa, light blue grid shirt","","Casual Button-Down Shirts","34.50","Sold","2025-06-07","2025-06-10","","eBay","eBay","","28.69","1.24","6.23","4.87","A1, raghouse, clothing","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/6de07eca-478f-4a5d-8fbd-a13a1ab8a8bf.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Alfred Dunner Teal Blouse – Cottagecore Floral XL","Teal green with delicate purple floral embroidery at the neckline. Flowy short sleeves and a split V-neck for breathable comfort. Size XL.
","Alfred Dunner","Pre-Owned - Good","Green","Purple","cottagecore blouse, vintage floral top, Alfred Dunner XL, embroidered rayon shirt, teal summer blouse","","Tops","12","Sold","2025-06-10","2026-02-25","","Poshmark","Poshmark","og tp: 11, 9","8","1.24","2.95","0","A1, 120days+, raghouse, 5profit, cog:1.24, clothing, firstbox, theomarkdown","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/61c00de5-4c1f-4764-9a26-4f62fda0aa3f.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","GAP M Cottagecore Cable Knit Sweater Sage Green Crew Neck Classic Cozy","Cottagecore GAP cable knit sweater with chunky texture in sage green solid.

Regular fit crew neck in 100% cotton, styled for casual everyday wear and cozy layering.

Size: M

Condition: Excellent. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Gap","Pre-Owned - Excellent","Green","","","","Sweaters","35","Active","2025-12-02","","","eBay, Mercari, Depop, Poshmark","","Cost: $5.14 | Mat: $0.23 | Ship: $0 | Target: $12.5 | Markup: { Etsy: 35% | eBay: 50% | Depop: 85% | Poshmark: 20% | Mercari: 20% }","","3.65","","","clothing, jennysweaters, raghouse, A14","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/2146f671-89e0-4b59-9b69-f094fdcf0605.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","SONOMA 34 Y2K Jean Shorts Blue Slim Stretch","Y2K Sonoma ""Slim"" denim shorts in medium blue wash with raw frayed hem.

Slim fit with slight stretch for comfort. 99% cotton denim.

Size: 34

Measurements:
Waist: 34""
Rise: 10""
Inseam: 10""
Leg Opening: 9""
Outerseam: 20.5""

Condition: Good pre-owned; Flaws: stain on front left leg (see photos). Priced accordingly.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Sonoma","Pre-Owned - Good","Blue","","sonoma, slim shorts, y2k, denim shorts, stretch denim, blue jeans, summer shorts","","Shorts","18","Active","2026-02-21","","","eBay, Mercari, Depop, Poshmark","","","","2.43","","","A18, cog:2.43","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/538f50cb-177d-4f84-bf67-3988c379814c.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Allison Daley plaid 3/4 sleeve button front shirt blouse, red tan check, y2k preppy","Plaid button‑front shirt with 3/4 roll‑tab sleeves and chest pocket. Woven poly‑cotton with light texture. Regular fit, straight hem. Condition: Good.","Allison Daley","Pre-Owned - Good","Red","Brown","plaid shirt, 3/4 sleeve, roll tab, button front, pocket, fall colors, y2k, preppy, size 10","","Tops","19.99","Sold","2025-08-21","2025-09-17","","eBay","eBay","sleeve:
length:
p2p:
og tp: 7","16.99","1.24","4.41","5.41","raghouse, clothing","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/a1b57c78-70a6-499f-a4e4-f7531eae863d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Hunter’s Glen ivory henley tee short sleeve knit top 1990s","Short‑sleeve henley tee with multi‑button placket and knit trim. 65% polyester/35% cotton; boxy, regular fit. Gently used with scattered small yellow spots on front and near hem; priced accordingly.","Hunter's Glen","Pre-Owned - Good","Beige","","vintage henley, ivory tee, minimalist, 1990s, Macau, preppy, short sleeve, knit","","Tops","14","Active","2025-08-14","","","eBay, Mercari, Depop, Poshmark","","sleeve:
length:
p2p:
og tp: 6","","1.24","","","raghouse, clothing, A4, cog:1.24, firstbox, 120days+, 5profit","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/77ba4a52-aefa-45c9-8266-6593338fb127.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Nike Team XL St. Louis Cardinals 1934 Gashouse Gang Ringer Tee","Nike Team St. Louis Cardinals “Gashouse Gang” graphic tee with red ringer collar.

Soft cotton feel, classic baseball/Cooperstown style.

Size: XL

Condition: Good; Flaws: light discoloration/marks (see photos).

Measurements: 22 in pit to pit, 28 in length.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Nike","Pre-Owned - Good","White","","Cardinals, Nike, Cooperstown, MLB, baseball, Gashouse Gang, St. Louis, graphic tee, ringer, sports, retro, team","","T-Shirts","24","Sold","2026-02-04","2026-02-18","","eBay","eBay","","0","2.93","16.41","0","A17, cog:2.93, raghouse, dirtywhitesportstees","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/edc7c8b1-f7e5-441e-b1d0-a0d1bd6e46b3.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Arrow L Vintage 70s Shirt Tan Short Sleeve Button Down Retro","Vintage 1970s Arrow short sleeve button down shirt with two chest pockets in tan.

Regular fit in poly-cotton blend, styled for casual retro looks.

Size: L

Condition: Good vintage condition with age-appropriate wear. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Arrow","Pre-Owned - Good","Tan","Brown","","","Casual Button-Down Shirts","35","Active","2025-12-21","","","eBay, Etsy, Mercari, Poshmark, Depop","","Cost: $3 | Mat: $0.23 | Ship: $0 | Target: $15 | Markup: { Etsy: 35% | eBay: 50% | Depop: 70% | Poshmark: 15% | Mercari: 5% }","","3","","","fleamarket, clothing, A16","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/1eccfdfd-8956-449e-9cd7-02a1e415dcd1.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Columbia M Outdoor Fleece Jacket Gray Full Zip Interchange Athletic","Outdoor Columbia fleece jacket with Omni-Wick technology in charcoal gray.

Regular fit in soft polyester fleece, styled for hiking and casual wear.

Size: M

Condition: Excellent; no visible flaws. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Columbia","Pre-Owned - Excellent","Gray","Black","","","Coats, Jackets & Vests","27","Sold","2025-11-25","2026-02-22","","eBay","eBay","Cost: $3.65 | Mat: $0.95 | Ship: $0 | Target: $21.5 | Markup: { Etsy: 35% | eBay: 50% | Depop: 85% | Poshmark: 25% | Mercari: 15% }","15.79","3.65","7.57","0","raghouse, A12, cog:3.65, 60days+, clothing, LLBeanColumbiaREI","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/392bc352-d721-4ce1-b8ce-8cface7cbbbe.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Disney Daisy Duck Big Face Graphic Tee White Women’s Medium Cotton","Cartoon-graphic tee in white with a big-face Daisy Duck print and a regular crew fit. Soft 100% cotton. Disneycore/Y2K vibe; bold bow detail up front. Graphic pattern. Condition: Good.","Disney","Pre-Owned - Good","White","Pink","","","Tops","17.99","Sold","2025-09-28","2025-09-30","","Poshmark","Poshmark","sleeve:
length:
p2p:
og tp: 3","10","2.76","2.95","0","raghouse, clothing, A8, Dirty White TV&Movie","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/80e39a78-d582-4172-8298-835dfc507fe3.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Comfort Colors XL Spicy Graphic Tee White Relaxed Fit Y2K Retro","Retro Comfort Colors graphic tee with bold ""SPICY"" text and jalapeño pepper cocktail design in white.

Oversized relaxed fit in heavyweight ring-spun cotton with vintage garment-dye finish, styled for casual everyday wear.

Size: XL

Condition: Good. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Comfort Colors","Pre-Owned - Good","White","Red","","","T-Shirts","35","Active","2026-01-07","","","eBay, Mercari, Poshmark, Depop","","Cost: $3 | Mat: $0.23 | Ship: $0 | Target: $17 | Markup: { Etsy: 35% | eBay: 35% | Depop: 35% | Poshmark: 15% | Mercari: 5% }","","0","","","A16, clothing, andrea","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/d7cb6167-79f1-4014-8f5c-d84db98260b2.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Straight Down L Preppy Golf Waffle Knit Pullover Gray Henley Retro 90s","Retro Straight Down golf pullover with 3-button henley collar in heather gray waffle knit.

Relaxed fit in textured thermal fabric, styled for casual wear and cool weather.

Size: L

Condition: Excellent; Flaws: None. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Next day shipping if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Straight Down","Pre-Owned - Excellent","Gray","","","","Sweaters","27","Sold","2025-11-09","2026-02-14","","Etsy","Etsy","og tp 31","27","3.65","2.88","9.2","raghouse, clothing, Vintage Fleece, closet, A13, A11, 60days+, cog:3.65","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/b9b4001c-ff1b-4018-a404-96b3289152b4.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Saks Fifth Avenue Real Clothes Silk Plaid Vest Green Orange V-Neck Petite M Y2K","Plaid button-front vest in green/orange tones with a V-neck and lightly tailored fit. Shell 100% silk with smooth rayon lining; shell buttons. Lightweight, crisp hand with subtle crinkle texture. Y2K/late-90s preppy vibe. Pattern: plaid. Condition: Good (gently used; normal light wear). Measurements shown in photos.","Saks Fifth Avenue","Pre-Owned - Good","Green","Orange","","","Tops","29.99","Sold","2025-09-07","2026-01-14","","Depop","Depop","sleeve:
length:
p2p:
og tp: 15","7.6","1.24","1.55","0","raghouse, clothing, A3","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/8108ebc0-fa5f-4712-a01a-af62cdde3401.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Outdoor Jacket M Minimalist Zip Jacket Beige Relaxed Fit","Minimalist beige outdoor jacket for everyday or travel wear.

Relaxed fit in lightweight polyester with full zip and elastic hem.

Size: M

Condition: Excellent pre-owned; Flaws: None visible. See photos for details.

Measurements: Chest 22"", Length 27"", Sleeve 24.5""

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Outdoor Jacket","Pre-Owned - Excellent","Beige","","outdoor, beige, zip jacket, minimalist, relaxed fit","","Coats, Jackets & Vests","20","Active","2026-03-11","","","eBay, Mercari, Depop, Poshmark","","Brand and size confirmed from label photo. No sold comps found—price estimated from similar minimalist jackets (brandless and entry-level) on eBay ($16–$22, ×1.35 ≈ $20). Adjust price if actual comps surface.","","0","","","A20, cog:0","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/8a4cdfd6-a262-4dfe-bb88-72af59811031.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Childish Gambino New World Tour 2024 Graphic Tee Gray Helmet Print Unisex M","Washed-charcoal graphic tour tee with neon helmet artwork and 2024 back hit. Soft cotton jersey with a relaxed, regular fit—easy streetwear staple and current tour merch. Condition: Good.","Childish Gambino","Pre-Owned - Good","Gray","","","","T-Shirts","34.99","Sold","2025-09-23","2025-09-24","","Depop","Depop","sleeve:
length:
p2p:
og tp: 19","19.2","1.24","2.88","0","raghouse, clothing, A7","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/cb5766ea-710a-4811-b4bd-1acfecc9a084.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Alfred Dunner beaded embroidered floral knit tee shirt women’s M cottagecore","Beaded + embroidered floral knit tee. Soft rayon-nylon with light stretch. Crew neck, short sleeves, straight hem. Condition: gently used with light stain under collar; beads intact; minor normal wear.","Alfred Dunner","Pre-Owned - Good","White","Purple","floral, beaded, embroidered, cottagecore, grandmacore, purple flowers, knit tee, rayon nylon, short sleeve, women’s medium","","Tops","17.99","Sold","2025-08-17","2025-12-08","","eBay","eBay","sleeve:
length:
p2p:
og tp: 6","11.69","1.24","1.99","4.99","raghouse, clothing, A5","","1"
